REGISTRATION_NUMBER,STUDENT_NAME,STUDENT_GENDER,STUDENT_DEPARTMENT,STUDENT_CGPA,STUDENT_EMAILID,STUDENT_CONTACT_NUMBER
2017000133,Charles Josephson,Female,Civil,9.26,CharlesJosephson@gmail.com,9986032487
2017000134,Stephen Shuler,Male,EEE,5.57,StephenShuler@yahoo.co.in,9986517449
2017000135,Marquita Mackey,Male,ECE,6.74,MarquitaMackey@yahoo.co.in,9986646268
2017000136,Rogelio Parrott,Male,Mechanical,6.27,RogelioParrott@hotmail.com,9986276178
2017000137,Christopher Jones,Male,Mechanical,8.83,ChristopherJones@hotmail.com,9986884978
2017000138,George Barker,Male,ECE,8.86,GeorgeBarker@hotmail.com,9986494844
2017000139,Thomas Griffin,Female,EEE,9.04,ThomasGriffin@rediffmail.com,9986796277
2017000140,Dominga Dixon,Male,Civil,6.21,DomingaDixon@yahoo.co.in,9986509213
2017000141,Robert Pye,Female,Civil,8.67,RobertPye@yahoo.co.in,9986047615
2017000142,Anna Head,Male,CSE,6.09,AnnaHead@gmail.com,9986608018
2017000143,Carolina Summers,Male,ECE,5.61,CarolinaSummers@hotmail.com,9986875445
2017000144,Jared Mangino,Male,EIE,7.88,JaredMangino@yahoo.co.in,9986090345
2017000145,Jerome Hidinger,Female,EEE,6.37,JeromeHidinger@rediffmail.com,9986587413
2017000146,Fannie Cordes,Female,EIE,7.05,FannieCordes@gmail.com,9986964140
2017000147,Isabella Coulter,Female,Civil,8.52,IsabellaCoulter@rediffmail.com,9986760352
2017000148,Mabel Mitchell,Female,ECE,6.48,MabelMitchell@yahoo.co.in,9986134494
2017000149,Deanna Ferkovich,Male,CSE,6.38,DeannaFerkovich@hotmail.com,9986565545
2017000150,Donna Carson,Male,Civil,6.03,DonnaCarson@yahoo.co.in,9986190797
2017000151,Martin Leslie,Female,Mechanical,8.84,MartinLeslie@yahoo.co.in,9986641791
2017000152,Sue Poggio,Male,Civil,6.36,SuePoggio@gmail.com,9986116569
2017000153,Harry Sodomka,Female,CSE,5.27,HarrySodomka@hotmail.com,9986148807
2017000154,Stephen Titsworth,Male,EEE,5.56,StephenTitsworth@gmail.com,9986197963
2017000155,Carol Benavidez,Female,CSE,9.46,CarolBenavidez@hotmail.com,9986300718
2017000156,James Nettles,Female,EEE,8.3,JamesNettles@rediffmail.com,9986627781
2017000157,Tina Hargett,Female,CSE,8.81,TinaHargett@hotmail.com,9986312188
2017000158,Beverly Huntzinger,Female,EEE,8.3,BeverlyHuntzinger@rediffmail.com,9986480068
2017000159,Natalie Ortiz,Male,CSE,7.64,NatalieOrtiz@rediffmail.com,9986904649
2017000160,Deborah Evans,Female,EIE,8.48,DeborahEvans@hotmail.com,9986410146
2017000161,Rick Hanson,Male,Civil,7.7,RickHanson@rediffmail.com,9986790597
2017000162,Ronald Best,Male,ECE,5.99,RonaldBest@yahoo.co.in,9986486352
2017000163,Nancy Rollins,Female,EEE,5.09,NancyRollins@yahoo.co.in,9986989581
2017000164,Melissa Brill,Female,Civil,6.18,MelissaBrill@hotmail.com,9986657378
2017000165,Melvin Tucker,Male,ECE,7.99,MelvinTucker@gmail.com,9986068660
2017000166,John Pedraza,Male,EIE,9.06,JohnPedraza@gmail.com,9986956221
2017000167,Charles Castro,Male,CSE,5.9,CharlesCastro@gmail.com,9986045743
2017000168,Augustine Patrick,Male,CSE,9.91,AugustinePatrick@yahoo.co.in,9986366142
2017000169,Robert Holohan,Male,Mechanical,9.32,RobertHolohan@hotmail.com,9986239314
2017000170,Gabriela Marett,Male,Mechanical,8.02,GabrielaMarett@gmail.com,9986278780
2017000171,Deborah Perkins,Female,CSE,8.36,DeborahPerkins@yahoo.co.in,9986977210
2017000172,Darrell Duncan,Female,Mechanical,7.2,DarrellDuncan@hotmail.com,9986570587
2017000173,Wendy Ramey,Male,ECE,5.7,WendyRamey@yahoo.co.in,9986865812
2017000174,Alonzo Cruz,Female,CSE,7.99,AlonzoCruz@rediffmail.com,9986040141
2017000175,James Dupuy,Female,ECE,9.71,JamesDupuy@yahoo.co.in,9986290476
2017000176,Henry Smisek,Female,Mechanical,7.83,HenrySmisek@yahoo.co.in,9986679782
2017000177,Theresa Whitehead,Male,EEE,7.97,TheresaWhitehead@gmail.com,9986822727
2017000178,Maria Barker,Female,Civil,8.23,MariaBarker@gmail.com,9986605289
2017000179,Patrick Hill,Female,Mechanical,9.98,PatrickHill@gmail.com,9986348429
2017000180,Elizabeth Grady,Female,ECE,6.55,ElizabethGrady@hotmail.com,9986511708
2017000181,Bonnie James,Male,EIE,8.72,BonnieJames@gmail.com,9986636375
2017000182,Catherine Daniels,Female,EEE,9.94,CatherineDaniels@yahoo.co.in,9986063601
2017000183,Pedro Lang,Female,EEE,9.85,PedroLang@hotmail.com,9986544844
2017000184,Brian Smith,Female,Civil,8.15,BrianSmith@rediffmail.com,9986468685
2017000185,Jesse Seibel,Female,Mechanical,8.18,JesseSeibel@hotmail.com,9986231427
2017000186,Kelli Chacon,Female,Civil,5.54,KelliChacon@gmail.com,9986353978
2017000187,Sandy Resendez,Male,EEE,5.8,SandyResendez@hotmail.com,9986817521
2017000188,Kerry Goff,Female,Mechanical,5.38,KerryGoff@gmail.com,9986496465
2017000189,Sara Schmidt,Male,Civil,8.4,SaraSchmidt@hotmail.com,9986747285
2017000190,Melanie Snellen,Male,ECE,9.49,MelanieSnellen@hotmail.com,9986591531
2017000191,Shaun Manzi,Male,EEE,6.26,ShaunManzi@yahoo.co.in,9986269405
2017000192,Thomas Arthur,Male,EEE,9.42,ThomasArthur@rediffmail.com,9986478671
2017000193,Noah Bowers,Female,Civil,8.54,NoahBowers@hotmail.com,9986186287
2017000194,Christopher Morris,Female,EEE,9.99,ChristopherMorris@rediffmail.com,9986185332
2017000195,Thomas Gunther,Female,Civil,8.49,ThomasGunther@yahoo.co.in,9986835689
2017000196,Kathryn Arocha,Male,EIE,7.87,KathrynArocha@hotmail.com,9986636186
2017000197,Clifton Manning,Female,ECE,5.99,CliftonManning@yahoo.co.in,9986139532
2017000198,Hector Babb,Female,Mechanical,8.15,HectorBabb@yahoo.co.in,9986287566
2017000199,Yvonne Sikes,Female,ECE,5.77,YvonneSikes@gmail.com,9986117237
2017000200,Claire Siriano,Male,Civil,5.41,ClaireSiriano@gmail.com,9986908333
2017000201,Robert Hill,Male,ECE,5.89,RobertHill@yahoo.co.in,9986032322
2017000202,Sharon Mangum,Male,ECE,6.71,SharonMangum@rediffmail.com,9986358342
2017000203,Manuel Stephenson,Male,ECE,6.27,ManuelStephenson@gmail.com,9986844763
2017000204,Karen Lee,Female,EIE,7.13,KarenLee@hotmail.com,9986594815
2017000205,Tommy Hight,Male,ECE,6.06,TommyHight@gmail.com,9986661709
2017000206,Nancy Hayes,Male,Mechanical,7.06,NancyHayes@hotmail.com,9986615951
2017000207,Eric Perrington,Male,Mechanical,9.67,EricPerrington@hotmail.com,9986037923
2017000208,Matthew Pugh,Female,CSE,7.99,MatthewPugh@rediffmail.com,9986248312
2017000209,Richard Baugh,Female,EEE,7.94,RichardBaugh@rediffmail.com,9986774508
2017000210,Ruth Allen,Female,EIE,7.78,RuthAllen@yahoo.co.in,9986123261
2017000211,Hilda Gilbert,Female,CSE,6.62,HildaGilbert@gmail.com,9986788643
2017000212,Laurie Mast,Female,EIE,7.22,LaurieMast@hotmail.com,9986263349
2017000213,Billy Buchanon,Female,ECE,8.72,BillyBuchanon@gmail.com,9986979131
2017000214,Charles Weishaar,Female,Mechanical,6.5,CharlesWeishaar@rediffmail.com,9986097253
2017000215,Alina Newman,Female,ECE,6.93,AlinaNewman@hotmail.com,9986880577
2017000216,Glenda Cook,Female,Mechanical,5.64,GlendaCook@gmail.com,9986858723
2017000217,Lisa Field,Female,Civil,9.54,LisaField@rediffmail.com,9986186228
2017000218,Betty Brown,Female,ECE,7.32,BettyBrown@rediffmail.com,9986250346
2017000219,Natalia Sarni,Male,CSE,5.12,NataliaSarni@hotmail.com,9986925503
2017000220,Christopher Steele,Female,Civil,8.09,ChristopherSteele@gmail.com,9986184483
2017000221,Betty Holter,Female,EIE,6.53,BettyHolter@gmail.com,9986604280
2017000222,Hector Cavalero,Male,CSE,9.06,HectorCavalero@hotmail.com,9986938351
2017000223,Ned Keith,Female,Civil,9.93,NedKeith@rediffmail.com,9986216641
2017000224,Jose Cabral,Female,CSE,6.48,JoseCabral@rediffmail.com,9986647924
2017000225,Cedric Hicks,Male,Civil,7.77,CedricHicks@gmail.com,9986975283
2017000226,Michael Hochstetler,Female,Civil,8.06,MichaelHochstetler@yahoo.co.in,9986119296
2017000227,James Smith,Male,EEE,6.11,JamesSmith@hotmail.com,9986774198
2017000228,Bruce Fowler,Male,CSE,7.02,BruceFowler@hotmail.com,9986998112
2017000229,Chester Kaschak,Female,Mechanical,7.93,ChesterKaschak@yahoo.co.in,9986667567
2017000230,Heather Young,Male,EEE,7.83,HeatherYoung@rediffmail.com,9986731602
2017000231,Kelly Collins,Male,EEE,5.22,KellyCollins@yahoo.co.in,9986971758
2017000232,Deborah Chaney,Female,CSE,6.08,DeborahChaney@hotmail.com,9986917710
2017000233,Adam Bagley,Male,EEE,9.1,AdamBagley@gmail.com,9986596183
2017000234,Joy Allen,Male,CSE,5.5,JoyAllen@hotmail.com,9986329477
2017000235,Harry Linville,Female,ECE,9.93,HarryLinville@gmail.com,9986399093
2017000236,Susan Piatt,Female,EIE,7.29,SusanPiatt@hotmail.com,9986548170
2017000237,Olga Aguilar,Female,CSE,8.64,OlgaAguilar@hotmail.com,9986752293
2017000238,Daniel Mcguire,Female,EIE,9.45,DanielMcguire@gmail.com,9986121877
2017000239,Joanne Ward,Female,Mechanical,8.46,JoanneWard@hotmail.com,9986838716
2017000240,Donald Hernandez,Female,EIE,5.85,DonaldHernandez@rediffmail.com,9986604902
2017000241,Brandon Dixon,Male,CSE,8.88,BrandonDixon@rediffmail.com,9986586459
2017000242,Waylon White,Male,Civil,8.18,WaylonWhite@gmail.com,9986537638
2017000243,Delores Joecks,Female,EIE,5.34,DeloresJoecks@hotmail.com,9986459337
2017000244,Bertha Robinson,Female,Civil,9.42,BerthaRobinson@hotmail.com,9986612447
2017000245,Earl Murray,Male,ECE,5.68,EarlMurray@rediffmail.com,9986129020
2017000246,James Leal,Male,CSE,5.71,JamesLeal@rediffmail.com,9986410953
2017000247,Luis Butler,Female,ECE,6.69,LuisButler@yahoo.co.in,9986955005
2017000248,Lawrence King,Male,CSE,7.6,LawrenceKing@yahoo.co.in,9986579090
2017000249,Robert Williams,Female,EIE,7.67,RobertWilliams@yahoo.co.in,9986648935
2017000250,Domenic Kopp,Male,CSE,6.07,DomenicKopp@hotmail.com,9986131084
2017000251,Mabel Kearney,Male,CSE,6.85,MabelKearney@hotmail.com,9986923490
2017000252,Rachel Kreiman,Female,EEE,7.16,RachelKreiman@hotmail.com,9986843120
2017000253,Sam Perez,Male,EIE,6.45,SamPerez@yahoo.co.in,9986689224
2017000254,Steven Edwards,Female,ECE,6.94,StevenEdwards@rediffmail.com,9986198202
2017000255,Lori Boyce,Male,Civil,9.41,LoriBoyce@gmail.com,9986879740
2017000256,Glen Berry,Male,EIE,5.05,GlenBerry@hotmail.com,9986581690
2017000257,Gregory Cardwell,Female,EEE,5.89,GregoryCardwell@rediffmail.com,9986785078
2017000258,Ione Simpson,Male,ECE,5.23,IoneSimpson@hotmail.com,9986987021
2017000259,Carin Mason,Female,Mechanical,8.97,CarinMason@yahoo.co.in,9986011936
2017000260,Thomas Mcghee,Male,Civil,5.02,ThomasMcghee@gmail.com,9986741043
2017000261,Arleen Smayda,Female,EIE,6.34,ArleenSmayda@gmail.com,9986449738
2017000262,George Vinson,Female,Civil,9.13,GeorgeVinson@hotmail.com,9986119840
2017000263,Steven Ochoa,Male,CSE,5.78,StevenOchoa@yahoo.co.in,9986402716
2017000264,Mitchell Hernandez,Male,Mechanical,7.11,MitchellHernandez@yahoo.co.in,9986471655
2017000265,Linda Gallegos,Female,ECE,9.53,LindaGallegos@rediffmail.com,9986044846
2017000266,Rusty Mccoy,Male,CSE,7.41,RustyMccoy@yahoo.co.in,9986011918
2017000267,Albert Miller,Female,Civil,8.6,AlbertMiller@hotmail.com,9986428776
2017000268,Daniel Jones,Female,EEE,6.15,DanielJones@yahoo.co.in,9986047477
2017000269,Roslyn Testerman,Male,ECE,7.62,RoslynTesterman@hotmail.com,9986300184
2017000270,Mary Pope,Female,Mechanical,9.71,MaryPope@rediffmail.com,9986987485
2017000271,Jeffrey Thompson,Female,EEE,9.2,JeffreyThompson@rediffmail.com,9986513327
2017000272,Daniel Mccool,Male,Mechanical,9.39,DanielMccool@hotmail.com,9986720938
2017000273,Eric Scallon,Female,Civil,9.74,EricScallon@yahoo.co.in,9986425216
2017000274,Daniel Olson,Female,Civil,9.18,DanielOlson@hotmail.com,9986614866
2017000275,Mildred Johnston,Male,CSE,7.95,MildredJohnston@yahoo.co.in,9986659219
2017000276,Joseph Schillinger,Female,CSE,7.06,JosephSchillinger@yahoo.co.in,9986637857
2017000277,Armando Schumann,Male,EIE,9.86,ArmandoSchumann@yahoo.co.in,9986942993
2017000278,Tamara Epp,Male,EEE,7.7,TamaraEpp@yahoo.co.in,9986845984
2017000279,Christi Sinstack,Male,EIE,8.67,ChristiSinstack@rediffmail.com,9986075694
2017000280,Mario Gailey,Male,EEE,7.68,MarioGailey@hotmail.com,9986612053
2017000281,Nelson Larimore,Male,Mechanical,8.95,NelsonLarimore@hotmail.com,9986137356
2017000282,David Morse,Female,ECE,9.08,DavidMorse@rediffmail.com,9986185396
2017000283,Sylvester Poeschel,Female,ECE,5.71,SylvesterPoeschel@yahoo.co.in,9986881166
2017000284,Sonya Barfoot,Male,EEE,9.69,SonyaBarfoot@hotmail.com,9986649665
2017000285,Dona Merlette,Female,ECE,5.06,DonaMerlette@gmail.com,9986022655
2017000286,Bradley Sadan,Female,ECE,5.24,BradleySadan@hotmail.com,9986573703
2017000287,Kenneth Badillo,Male,Mechanical,7.56,KennethBadillo@rediffmail.com,9986963507
2017000288,Kari Mcfadden,Male,ECE,5.89,KariMcfadden@hotmail.com,9986485246
2017000289,Lori Child,Female,EEE,9.99,LoriChild@yahoo.co.in,9986453636
2017000290,Sarah Call,Female,ECE,6.8,SarahCall@gmail.com,9986403479
2017000291,Antonio Green,Female,Civil,7.17,AntonioGreen@hotmail.com,9986439329
2017000292,Tracie Gilbert,Male,ECE,8.63,TracieGilbert@gmail.com,9986294922
2017000293,Mary Eagle,Male,CSE,8.48,MaryEagle@rediffmail.com,9986257039
2017000294,Morris Brown,Female,Civil,5.47,MorrisBrown@gmail.com,9986087403
2017000295,Mary Markham,Female,ECE,8.39,MaryMarkham@gmail.com,9986086300
2017000296,Latonya Grainger,Male,Civil,7.55,LatonyaGrainger@hotmail.com,9986358691
2017000297,Jasmin Welch,Female,Civil,6.22,JasminWelch@gmail.com,9986572224
2017000298,Suk Woods,Male,EEE,8.78,SukWoods@hotmail.com,9986777126
2017000299,Ariana Harris,Female,EEE,5.06,ArianaHarris@rediffmail.com,9986000989
2017000300,Steve Whish,Male,Mechanical,5.21,SteveWhish@gmail.com,9986174013
2017000301,Elizabeth Hitchcock,Male,Mechanical,6.25,ElizabethHitchcock@gmail.com,9986045266
2017000302,Mary Killian,Male,ECE,7.19,MaryKillian@yahoo.co.in,9986585023
2017000303,Carol Gutierrez,Male,EIE,8.66,CarolGutierrez@gmail.com,9986014546
2017000304,Esta Ross,Male,Civil,9.22,EstaRoss@hotmail.com,9986467879
2017000305,Robert Crisci,Female,EIE,7.52,RobertCrisci@rediffmail.com,9986677768
2017000306,Michael Doemelt,Male,Civil,9.36,MichaelDoemelt@rediffmail.com,9986539562
