RegNo,Name,Gender,Department,CGPA,Email,Contact
37,Richard Bowden,Female,Civil,8.9,Richard Bowden@rediffmail.com,9986740669
38,Vincent Mcclellan,Male,Civil,6.58,Vincent Mcclellan@hotmail.com,9986677680
39,Robert Mcgough,Male,Mechanical,5.57,Robert Mcgough@hotmail.com,9986454032
40,Brenda Crane,Male,ECE,9.94,Brenda Crane@gmail.com,9986801833
41,Peter Young,Female,EIE,6.77,Peter Young@rediffmail.com,9986490123
42,Billy Herrera,Male,EEE,8.45,Billy Herrera@hotmail.com,9986545755
43,William Smith,Female,ECE,6.58,William Smith@rediffmail.com,9986436194
44,Timothy Caplinger,Male,Civil,6.32,Timothy Caplinger@hotmail.com,9986731149
45,John Lawless,Female,Civil,8.54,John Lawless@hotmail.com,9986345303
46,Ronald Wade,Male,EEE,9.28,Ronald Wade@rediffmail.com,9986913352
47,Thomas Blythe,Female,EIE,5.63,Thomas Blythe@hotmail.com,9986849987
48,Heather Hutson,Male,Civil,7.72,Heather Hutson@yahoo.co.in,9986557895
49,Samuel Calvery,Female,ECE,9.88,Samuel Calvery@rediffmail.com,9986082725
50,Megan Slagle,Female,EIE,6.11,Megan Slagle@gmail.com,9986412667
51,Markus Brumer,Male,Civil,6.71,Markus Brumer@rediffmail.com,9986310386
52,Joe Mays,Male,EIE,7.85,Joe Mays@gmail.com,9986242377
53,Kelly Johnson,Male,EIE,5.26,Kelly Johnson@gmail.com,9986716669
54,Ida Downs,Female,EEE,5.41,Ida Downs@yahoo.co.in,9986025121
55,Robert Stallard,Male,ECE,6.07,Robert Stallard@rediffmail.com,9986168930
56,Emily Wassermann,Female,EEE,8.74,Emily Wassermann@gmail.com,9986624594
57,Gary Reid,Male,EIE,5.67,Gary Reid@yahoo.co.in,9986244815
58,Maria Saunders,Female,CSE,5.99,Maria Saunders@hotmail.com,9986821477
59,Gary Burden,Female,EIE,8.45,Gary Burden@yahoo.co.in,9986944842
60,Stephen Vasquez,Female,Civil,5.41,Stephen Vasquez@gmail.com,9986265209
61,Ruby Ferguson,Male,ECE,5.01,Ruby Ferguson@gmail.com,9986221112
62,Elaine Fonseca,Female,Mechanical,7.7,Elaine Fonseca@yahoo.co.in,9986199006
63,Joseph House,Female,Civil,6.36,Joseph House@yahoo.co.in,9986781871
64,Jason Mcgee,Male,Civil,5.85,Jason Mcgee@yahoo.co.in,9986239876
65,Diana Mccarty,Female,EEE,5.19,Diana Mccarty@hotmail.com,9986599043
66,Carey Earley,Female,Civil,7.4,Carey Earley@hotmail.com,9986076564
67,Carey Fox,Male,EIE,7.82,Carey Fox@hotmail.com,9986389902
68,Denise Richardson,Female,EIE,9.72,Denise Richardson@yahoo.co.in,9986976177
69,Ruby Debartolo,Female,EEE,6.04,Ruby Debartolo@yahoo.co.in,9986975472
70,Donna Alberson,Male,EEE,7.98,Donna Alberson@hotmail.com,9986801495
71,Clare Ellis,Male,Civil,9.69,Clare Ellis@hotmail.com,9986856480
72,Scott Villegas,Female,EEE,6.26,Scott Villegas@hotmail.com,9986895684
73,Tammy Chavarria,Female,EIE,8.61,Tammy Chavarria@yahoo.co.in,9986297464
74,Virginia Eubanks,Female,EIE,6.2,Virginia Eubanks@rediffmail.com,9986623686
75,Kenneth Mccabe,Female,EIE,6.87,Kenneth Mccabe@hotmail.com,9986724802
76,Yvonne Stith,Female,ECE,6.9,Yvonne Stith@rediffmail.com,9986451527
77,Rosalie Conaway,Female,EIE,7.46,Rosalie Conaway@gmail.com,9986970333
78,Yvonne Mills,Female,Civil,9.46,Yvonne Mills@rediffmail.com,9986235442
79,Margaret Harrington,Male,Civil,5.36,Margaret Harrington@rediffmail.com,9986129595
80,Kari French,Female,CSE,6.39,Kari French@hotmail.com,9986499341
81,James Harrison,Male,Civil,9.34,James Harrison@yahoo.co.in,9986487979
82,Tracy Jackson,Female,EIE,5.12,Tracy Jackson@yahoo.co.in,9986393785
83,James Toole,Male,ECE,9.73,James Toole@rediffmail.com,9986221093
84,Larry Shaver,Female,ECE,5.15,Larry Shaver@rediffmail.com,9986922820
85,Luke Gonzalez,Female,ECE,5.68,Luke Gonzalez@yahoo.co.in,9986603056
86,Louise Flynn,Male,Mechanical,9.64,Louise Flynn@rediffmail.com,9986151066
87,Christopher Holloman,Male,Mechanical,9.11,Christopher Holloman@gmail.com,9986180340
88,Donald Garcia,Male,ECE,6.68,Donald Garcia@yahoo.co.in,9986007653
89,Ellen Esperon,Male,CSE,8.52,Ellen Esperon@gmail.com,9986840785
90,Dora Saumier,Female,EEE,5.24,Dora Saumier@gmail.com,9986542954
91,Katy Beard,Male,EIE,7.4,Katy Beard@gmail.com,9986426689
92,Ira Snyder,Male,ECE,8.9,Ira Snyder@yahoo.co.in,9986192393
93,Shelia Johnson,Male,ECE,5.58,Shelia Johnson@yahoo.co.in,9986150241
94,Bryan Dick,Male,ECE,5.12,Bryan Dick@yahoo.co.in,9986765477
95,Francis Baumgardner,Female,EEE,5.33,Francis Baumgardner@hotmail.com,9986910819
96,Joyce Carter,Female,Mechanical,6.86,Joyce Carter@yahoo.co.in,9986746914
97,Sophia King,Male,EIE,8.64,Sophia King@gmail.com,9986185442
98,Michael Pawlak,Male,Mechanical,9.69,Michael Pawlak@gmail.com,9986665724
99,James Wilson,Female,EEE,9.26,James Wilson@rediffmail.com,9986743919
100,Abby Wood,Female,Civil,9.37,Abby Wood@hotmail.com,9986372236
101,David Hurst,Male,Mechanical,8.52,David Hurst@gmail.com,9986725224
102,Nicole Whiteford,Female,EEE,5.32,Nicole Whiteford@hotmail.com,9986795495
103,Deborah Norris,Male,CSE,6.03,Deborah Norris@yahoo.co.in,9986072055
104,John Lee,Male,CSE,5.08,John Lee@rediffmail.com,9986869545
105,Donna Macias,Female,EIE,5.03,Donna Macias@gmail.com,9986357595
106,Dennis Lemieux,Male,Mechanical,7.86,Dennis Lemieux@gmail.com,9986815775
107,Richard Causey,Male,EIE,8.48,Richard Causey@hotmail.com,9986506268
108,Dana Galloway,Male,Civil,6.45,Dana Galloway@gmail.com,9986727371
109,Karla Boggs,Female,CSE,5.4,Karla Boggs@rediffmail.com,9986405894
110,Joe Dehart,Male,CSE,9.9,Joe Dehart@gmail.com,9986518568
111,Frank Roberson,Female,CSE,9.28,Frank Roberson@gmail.com,9986883954
112,Zora Sanmiguel,Female,ECE,5.55,Zora Sanmiguel@yahoo.co.in,9986115379
113,Jill Abernathy,Female,Mechanical,7.38,Jill Abernathy@gmail.com,9986757071
114,Robert Ackerman,Male,Mechanical,7.33,Robert Ackerman@rediffmail.com,9986825214
115,Randi Crawford,Female,CSE,6.19,Randi Crawford@hotmail.com,9986087966
116,Thomas Carter,Male,EEE,6.34,Thomas Carter@hotmail.com,9986066484
117,Andrew Skinnen,Male,ECE,9.96,Andrew Skinnen@hotmail.com,9986451548
118,Joel Fragoso,Female,Civil,9.59,Joel Fragoso@rediffmail.com,9986974485
119,Kathy Loepp,Male,EEE,8.85,Kathy Loepp@hotmail.com,9986271674
120,Viola Lanning,Male,Civil,7.05,Viola Lanning@hotmail.com,9986192319
121,Barbara Colbert,Female,Civil,7.39,Barbara Colbert@hotmail.com,9986588610
122,Ava Zanola,Female,EEE,5.56,Ava Zanola@gmail.com,9986419360
123,Ruth Leyva,Female,ECE,6.47,Ruth Leyva@hotmail.com,9986237268
124,Todd Treanor,Female,EEE,8.95,Todd Treanor@gmail.com,9986663139
125,Joseph Jackson,Female,Mechanical,9.29,Joseph Jackson@rediffmail.com,9986610060
126,Melvin Longo,Male,ECE,5.81,Melvin Longo@yahoo.co.in,9986223754
127,Hallie Martinez,Female,EIE,6.54,Hallie Martinez@yahoo.co.in,9986640808
128,Ronald Koetje,Male,Civil,7.65,Ronald Koetje@gmail.com,9986101201
129,Clark Rutledge,Female,ECE,5.01,Clark Rutledge@yahoo.co.in,9986851225
130,Brian Chiarito,Female,Mechanical,9.12,Brian Chiarito@hotmail.com,9986268215
131,Barbie Lester,Female,CSE,5.24,Barbie Lester@hotmail.com,9986019962
132,Clara Gavin,Male,EEE,9.85,Clara Gavin@yahoo.co.in,9986674513
133,Charles Brown,Male,CSE,7.03,Charles Brown@rediffmail.com,9986433340
134,Gloria Bautista,Male,Mechanical,7.69,Gloria Bautista@yahoo.co.in,9986775715
135,Grace Kirschman,Male,CSE,9.88,Grace Kirschman@hotmail.com,9986435682
136,Mildred Richardson,Female,Mechanical,5.13,Mildred Richardson@yahoo.co.in,9986201654
137,Jeri Vaugh,Female,EEE,7.84,Jeri Vaugh@gmail.com,9986688644
138,Sherry Rodriguez,Female,EEE,9.15,Sherry Rodriguez@rediffmail.com,9986597562
139,George Ellis,Female,CSE,7.09,George Ellis@rediffmail.com,9986297680
140,Theodore Wright,Male,EIE,7.27,Theodore Wright@yahoo.co.in,9986888568
141,Shawn Windham,Male,CSE,6.2,Shawn Windham@yahoo.co.in,9986637917
142,Luis Dearmitt,Female,ECE,7.02,Luis Dearmitt@rediffmail.com,9986790026
143,Christine Moore,Male,ECE,7.63,Christine Moore@yahoo.co.in,9986929987
144,Geraldine Babbitt,Male,Mechanical,5.73,Geraldine Babbitt@rediffmail.com,9986853674
145,Monica Ramey,Female,Mechanical,7.64,Monica Ramey@hotmail.com,9986528441
146,Molly Hollis,Female,Mechanical,6.09,Molly Hollis@gmail.com,9986616361
147,Leslie Lucas,Female,CSE,5.91,Leslie Lucas@gmail.com,9986841642
148,Manuel Neill,Female,Civil,6.92,Manuel Neill@gmail.com,9986876912
149,Andre George,Male,Mechanical,5.28,Andre George@hotmail.com,9986296891
150,Chris Coleman,Male,EIE,6.11,Chris Coleman@hotmail.com,9986702752
151,Vickie Otero,Male,EEE,7.23,Vickie Otero@gmail.com,9986086512
152,Angela Marshall,Male,EIE,5.61,Angela Marshall@gmail.com,9986867442
153,Stacy Cabral,Female,ECE,9.36,Stacy Cabral@yahoo.co.in,9986606586
154,James Heckert,Male,EIE,9.5,James Heckert@yahoo.co.in,9986875267
155,Arthur Jordan,Female,EIE,7.86,Arthur Jordan@yahoo.co.in,9986915914
156,Jason Lee,Male,EIE,5.46,Jason Lee@rediffmail.com,9986490992
157,Charles Garon,Male,EEE,7.84,Charles Garon@rediffmail.com,9986814208
158,Karen Adkins,Male,Civil,7.17,Karen Adkins@rediffmail.com,9986912799
159,Michael Slone,Male,Civil,5.63,Michael Slone@hotmail.com,9986341397
160,Stephen Greer,Male,EEE,9.13,Stephen Greer@rediffmail.com,9986643128
161,David Michael,Male,EEE,8.72,David Michael@hotmail.com,9986262905
162,Emma Haberman,Female,CSE,9.11,Emma Haberman@rediffmail.com,9986135108
163,Jimmy Silver,Male,CSE,9.86,Jimmy Silver@gmail.com,9986322777
164,Stewart Brooks,Female,EIE,6.09,Stewart Brooks@yahoo.co.in,9986213586
165,Ralph Jenkins,Male,ECE,5.5,Ralph Jenkins@gmail.com,9986115711
166,Guillermo Houston,Female,Mechanical,6.4,Guillermo Houston@hotmail.com,9986675668
167,Arthur Manuel,Male,CSE,7.91,Arthur Manuel@yahoo.co.in,9986339308
168,Danielle Woods,Male,EIE,9.12,Danielle Woods@rediffmail.com,9986347979
169,Lisa Kinnard,Male,ECE,5.3,Lisa Kinnard@yahoo.co.in,9986859142
170,Larry Ames,Female,EEE,6.62,Larry Ames@gmail.com,9986469778
171,Dorthy Swick,Male,CSE,9.89,Dorthy Swick@yahoo.co.in,9986708047
172,Eugene Caron,Male,CSE,5.4,Eugene Caron@yahoo.co.in,9986672322
173,David Jones,Female,EIE,8.92,David Jones@rediffmail.com,9986613443
174,Elise Matier,Male,EEE,9.19,Elise Matier@hotmail.com,9986035902
175,Julie Orozco,Female,CSE,7.54,Julie Orozco@rediffmail.com,9986706633
176,Manuel Green,Male,EEE,7.95,Manuel Green@rediffmail.com,9986651637
177,Minnie Bowler,Female,Mechanical,6.7,Minnie Bowler@gmail.com,9986726110
178,David Shorter,Female,Mechanical,7.59,David Shorter@hotmail.com,9986282655
179,James Foster,Male,CSE,8.37,James Foster@rediffmail.com,9986167845
180,Tracy Silvis,Female,ECE,8.08,Tracy Silvis@gmail.com,9986257815
181,Michael Ewy,Female,CSE,6.49,Michael Ewy@rediffmail.com,9986653037
182,Maria Smith,Female,Civil,8.92,Maria Smith@hotmail.com,9986436619
183,John Anglin,Male,EEE,9.13,John Anglin@hotmail.com,9986803209
184,Marilyn Kecskes,Female,EIE,9.17,Marilyn Kecskes@gmail.com,9986261273
185,Aileen Carroll,Female,Civil,6.21,Aileen Carroll@yahoo.co.in,9986797027
186,Mary Mcintosh,Male,ECE,5.35,Mary Mcintosh@yahoo.co.in,9986745845
187,Steve Bartholomew,Male,Civil,9.48,Steve Bartholomew@gmail.com,9986361166
188,Edgar Bednorz,Male,EIE,5.41,Edgar Bednorz@hotmail.com,9986194496
189,Terry Beatty,Female,CSE,5.04,Terry Beatty@hotmail.com,9986528342
190,Donald Perea,Male,CSE,9.71,Donald Perea@yahoo.co.in,9986166221
191,Willie Rodriquez,Male,ECE,5.47,Willie Rodriquez@yahoo.co.in,9986653115
192,Jason Deleon,Female,CSE,8.35,Jason Deleon@rediffmail.com,9986723680
193,Marshall Mitchell,Male,Mechanical,9.06,Marshall Mitchell@gmail.com,9986192915
194,David Walker,Female,ECE,7.59,David Walker@yahoo.co.in,9986739758
195,Marilyn Horrell,Male,ECE,5.86,Marilyn Horrell@hotmail.com,9986027532
196,Linda Weeks,Female,Mechanical,9.32,Linda Weeks@hotmail.com,9986842746
197,Winfred Frisbee,Male,Civil,8.48,Winfred Frisbee@gmail.com,9986019412
198,Karen Warrick,Male,Civil,6.19,Karen Warrick@yahoo.co.in,9986137553
199,Lyle Ford,Female,ECE,5.53,Lyle Ford@rediffmail.com,9986653535
200,Patricia Haggard,Male,ECE,7.0,Patricia Haggard@rediffmail.com,9986715320
201,Jennifer Whitehouse,Female,Mechanical,8.92,Jennifer Whitehouse@gmail.com,9986890912
202,Sandra Campbell,Male,Mechanical,8.81,Sandra Campbell@gmail.com,9986710298
203,Jean Finke,Female,Civil,6.69,Jean Finke@hotmail.com,9986416341
204,Latonya Carrico,Male,Civil,7.08,Latonya Carrico@rediffmail.com,9986040886
205,Raymond Smith,Female,ECE,7.83,Raymond Smith@yahoo.co.in,9986742087
206,Jose Reed,Male,Civil,9.45,Jose Reed@yahoo.co.in,9986918358
207,Patricia Goleman,Male,ECE,5.38,Patricia Goleman@gmail.com,9986699654
208,Juana Keehn,Female,ECE,6.61,Juana Keehn@gmail.com,9986926830
209,Claude Knopp,Female,Civil,6.54,Claude Knopp@yahoo.co.in,9986750316
210,Jeremy Lawless,Female,CSE,8.68,Jeremy Lawless@yahoo.co.in,9986820947
211,Debra Hale,Male,Civil,9.03,Debra Hale@gmail.com,9986471992
212,Mitchell Long,Female,Mechanical,8.24,Mitchell Long@yahoo.co.in,9986768887
213,Paula Angles,Female,EEE,8.04,Paula Angles@rediffmail.com,9986414967
214,Karen Hatala,Female,ECE,6.23,Karen Hatala@hotmail.com,9986640156
215,Melissa Walls,Male,EEE,8.52,Melissa Walls@gmail.com,9986312454
216,Kendall Hernandez,Female,Civil,8.99,Kendall Hernandez@rediffmail.com,9986868106
217,Edgar Bentley,Male,CSE,9.68,Edgar Bentley@hotmail.com,9986904516
218,Donna Shaner,Female,EEE,9.12,Donna Shaner@rediffmail.com,9986743313
219,Jamie Williams,Male,Civil,9.84,Jamie Williams@yahoo.co.in,9986472891
220,David Norman,Male,Mechanical,5.72,David Norman@yahoo.co.in,9986133662
221,William Holmes,Female,Civil,6.0,William Holmes@yahoo.co.in,9986063835
222,Rosa Dore,Male,Civil,9.39,Rosa Dore@gmail.com,9986933707
223,Keely Stevens,Male,Civil,5.44,Keely Stevens@hotmail.com,9986929848
224,Frances Collazo,Male,ECE,6.72,Frances Collazo@rediffmail.com,9986845802
225,Mary Brophy,Female,EEE,8.37,Mary Brophy@hotmail.com,9986639301
226,Regina Scott,Female,CSE,9.63,Regina Scott@rediffmail.com,9986825974
227,Shirley Dixon,Male,ECE,8.25,Shirley Dixon@yahoo.co.in,9986260064
228,John Poole,Female,ECE,7.86,John Poole@rediffmail.com,9986086115
229,Mohammad Bednorz,Female,CSE,9.53,Mohammad Bednorz@gmail.com,9986292117
230,John Leo,Female,Mechanical,8.66,John Leo@rediffmail.com,9986859488
231,Christina Kister,Female,CSE,6.84,Christina Kister@gmail.com,9986392536
232,Jerry Roberts,Male,Civil,7.39,Jerry Roberts@hotmail.com,9986644456
233,Justin Wise,Male,Mechanical,5.9,Justin Wise@gmail.com,9986267091
234,James Marsh,Female,EEE,5.79,James Marsh@hotmail.com,9986025229
235,Stephen Williams,Female,EIE,9.7,Stephen Williams@rediffmail.com,9986923557
236,Jack Eddy,Male,EIE,8.22,Jack Eddy@rediffmail.com,9986047362
237,Edwin Mcdavid,Male,EIE,7.26,Edwin Mcdavid@hotmail.com,9986019196
238,Emily Savage,Male,EIE,5.54,Emily Savage@rediffmail.com,9986463485
239,Corey Heath,Female,EEE,8.58,Corey Heath@rediffmail.com,9986498529
240,Raymond Yates,Male,EEE,6.29,Raymond Yates@yahoo.co.in,9986003564
241,Jane Minnick,Female,Civil,8.76,Jane Minnick@gmail.com,9986087224
242,Mary Roberts,Male,ECE,5.3,Mary Roberts@gmail.com,9986450198
243,John Hamel,Male,Mechanical,5.05,John Hamel@gmail.com,9986075801
244,Tiffany Whitesides,Female,CSE,8.56,Tiffany Whitesides@gmail.com,9986275635
245,Ernest Martinez,Male,EIE,7.18,Ernest Martinez@rediffmail.com,9986467230
246,Judith Delgado,Male,CSE,9.36,Judith Delgado@hotmail.com,9986415127
247,Brenda Chavez,Male,Mechanical,8.22,Brenda Chavez@gmail.com,9986786356
248,Ellen Cardwell,Male,Mechanical,6.51,Ellen Cardwell@yahoo.co.in,9986105897
249,Jose Rosas,Male,Mechanical,8.03,Jose Rosas@rediffmail.com,9986365704
250,Leonard Corriveau,Female,CSE,5.27,Leonard Corriveau@rediffmail.com,9986533108
251,Tom Michael,Female,EIE,5.02,Tom Michael@hotmail.com,9986684364
252,Deanna Parker,Female,EIE,6.55,Deanna Parker@gmail.com,9986116252
253,Travis Michel,Male,Civil,6.08,Travis Michel@rediffmail.com,9986659384
254,Jacquelyn Cervantes,Female,Civil,6.17,Jacquelyn Cervantes@gmail.com,9986926593
255,Barbara Gooch,Female,EEE,8.42,Barbara Gooch@yahoo.co.in,9986213505
256,Daniel Holliman,Male,EIE,8.99,Daniel Holliman@gmail.com,9986830869
257,Mary Price,Female,CSE,9.45,Mary Price@hotmail.com,9986297329
258,Kathy Swindle,Female,EIE,8.61,Kathy Swindle@gmail.com,9986433885
259,Lee Treece,Male,CSE,7.76,Lee Treece@yahoo.co.in,9986947841
260,Jasmine Edwards,Female,CSE,8.51,Jasmine Edwards@hotmail.com,9986988552
261,Lula Pogue,Female,EEE,8.65,Lula Pogue@gmail.com,9986210973
262,Todd Caldwell,Male,EIE,9.72,Todd Caldwell@hotmail.com,9986062365
263,Thomas Snyder,Female,ECE,6.56,Thomas Snyder@gmail.com,9986175707
264,Heather Roy,Male,Civil,5.71,Heather Roy@hotmail.com,9986590046
265,Mildred Lam,Female,Civil,5.3,Mildred Lam@gmail.com,9986762426
266,Guadalupe Gauldin,Male,Civil,6.13,Guadalupe Gauldin@rediffmail.com,9986242141
267,Robert Cook,Male,EEE,6.05,Robert Cook@yahoo.co.in,9986938151
268,David Foster,Female,ECE,5.74,David Foster@rediffmail.com,9986572529
269,Estella Rizzo,Male,Mechanical,8.83,Estella Rizzo@hotmail.com,9986971237
270,Phillip Short,Male,CSE,6.52,Phillip Short@hotmail.com,9986527576
271,William Dunsford,Female,Mechanical,8.48,William Dunsford@yahoo.co.in,9986720343
272,David Guy,Male,Mechanical,6.22,David Guy@hotmail.com,9986253335
273,Jaime Mcquaig,Male,EEE,6.44,Jaime Mcquaig@gmail.com,9986841124
274,David Paris,Female,CSE,6.09,David Paris@yahoo.co.in,9986992054
275,Rigoberto Palma,Male,EIE,7.35,Rigoberto Palma@hotmail.com,9986597166
276,Joseph Montijo,Male,CSE,7.82,Joseph Montijo@hotmail.com,9986333421
277,Sue Talley,Male,EEE,9.26,Sue Talley@yahoo.co.in,9986896157
278,Grace Wood,Female,EIE,8.57,Grace Wood@gmail.com,9986117845
279,Thelma Metzger,Male,ECE,9.56,Thelma Metzger@rediffmail.com,9986484016
280,Simone Corea,Female,ECE,6.89,Simone Corea@yahoo.co.in,9986533281
281,Blanch Burks,Male,CSE,6.1,Blanch Burks@gmail.com,9986963420
282,Patricia Pierce,Female,EIE,5.96,Patricia Pierce@yahoo.co.in,9986867993
283,Marcia Fee,Female,EIE,6.17,Marcia Fee@rediffmail.com,9986318923
284,Ralph Rath,Male,EIE,6.37,Ralph Rath@gmail.com,9986537689
285,Andrew Cox,Female,EIE,9.61,Andrew Cox@hotmail.com,9986352554
286,Helen Pettit,Male,Civil,6.02,Helen Pettit@hotmail.com,9986664730
287,Roy Aliaga,Male,CSE,5.71,Roy Aliaga@yahoo.co.in,9986577147
288,Russell Swanson,Female,EEE,7.13,Russell Swanson@gmail.com,9986288061
289,Virginia Butler,Female,CSE,8.76,Virginia Butler@yahoo.co.in,9986468190
290,Kristie Dietz,Male,Civil,6.4,Kristie Dietz@hotmail.com,9986206073
291,Opal Strickland,Male,Civil,7.64,Opal Strickland@rediffmail.com,9986109734
292,Betty Irland,Female,EEE,5.6,Betty Irland@yahoo.co.in,9986021727
293,Marianne Perez,Male,Mechanical,9.44,Marianne Perez@hotmail.com,9986473618
294,Randall Koenig,Female,Civil,5.63,Randall Koenig@gmail.com,9986046734
295,Corrine Ramsey,Female,EEE,6.74,Corrine Ramsey@hotmail.com,9986901264
296,Robin Harpster,Female,ECE,8.56,Robin Harpster@hotmail.com,9986249651
297,Beth Potter,Male,Mechanical,9.49,Beth Potter@gmail.com,9986305716
298,James Brooks,Female,EEE,6.56,James Brooks@yahoo.co.in,9986849528
299,Harry Dillon,Male,Civil,9.0,Harry Dillon@yahoo.co.in,9986843776
300,Rita Gerow,Female,EEE,9.6,Rita Gerow@yahoo.co.in,9986011212
301,Betty Haney,Male,CSE,8.22,Betty Haney@gmail.com,9986048887
302,James Presley,Female,ECE,6.31,James Presley@hotmail.com,9986922155
303,Jose Waite,Male,Civil,9.48,Jose Waite@gmail.com,9986185682
304,Edith Sheldon,Male,Mechanical,9.65,Edith Sheldon@yahoo.co.in,9986959458
305,Brenda Quillen,Female,ECE,8.84,Brenda Quillen@yahoo.co.in,9986306884
306,Diana Fitzgerald,Male,CSE,9.6,Diana Fitzgerald@gmail.com,9986976068
307,Nathan Burkey,Male,EEE,7.15,Nathan Burkey@hotmail.com,9986533846
308,Andre Snyder,Male,Civil,7.96,Andre Snyder@gmail.com,9986690390
309,Ruby Turner,Female,CSE,5.55,Ruby Turner@hotmail.com,9986558218
310,Carlos Powell,Female,ECE,8.13,Carlos Powell@rediffmail.com,9986367518
311,Danette Blount,Female,ECE,5.45,Danette Blount@rediffmail.com,9986086134
312,Cecil Holley,Female,Civil,9.18,Cecil Holley@gmail.com,9986997281
313,Paul Richards,Male,EIE,6.44,Paul Richards@hotmail.com,9986040474
314,Michael Rose,Female,EIE,9.91,Michael Rose@rediffmail.com,9986114114
315,Diane Gamblin,Female,EIE,8.55,Diane Gamblin@gmail.com,9986732541
316,Mark Roblow,Male,Mechanical,8.52,Mark Roblow@gmail.com,9986769146
317,Julio Cocklin,Male,ECE,6.22,Julio Cocklin@rediffmail.com,9986808451
318,Janet Brito,Female,CSE,7.99,Janet Brito@hotmail.com,9986975356
319,Timothy Buzard,Male,EEE,9.55,Timothy Buzard@hotmail.com,9986464958
320,Clinton Sanders,Female,Civil,7.06,Clinton Sanders@gmail.com,9986787460
321,Clark Meyers,Male,ECE,6.24,Clark Meyers@hotmail.com,9986596856
322,Arturo Walker,Male,Civil,9.36,Arturo Walker@hotmail.com,9986772100
323,Leonard Lindgren,Female,ECE,7.41,Leonard Lindgren@rediffmail.com,9986729605
324,Matthew Sage,Female,EEE,8.61,Matthew Sage@yahoo.co.in,9986319548
325,Christopher Whitehead,Female,ECE,7.65,Christopher Whitehead@hotmail.com,9986131265
326,Walter Zelinsky,Male,CSE,9.1,Walter Zelinsky@yahoo.co.in,9986181621
327,John Jawad,Male,Civil,9.46,John Jawad@yahoo.co.in,9986492068
328,Jimmy Voit,Female,EEE,7.29,Jimmy Voit@hotmail.com,9986127946
329,William Graciano,Male,EEE,6.23,William Graciano@yahoo.co.in,9986424217
330,Diana Lischak,Male,Mechanical,9.58,Diana Lischak@hotmail.com,9986101940
