RegNo,Name,Gender,Department,CGPA,Email,Contact
20181093,Richard Schaffer,Female,CSE,8.63,RichardSchaffer@gmail.com,9986278670
20181094,Myles Corey,Female,Mechanical,9.38,MylesCorey@yahoo.co.in,9986773217
20181095,Sally Moore,Male,Civil,8.67,SallyMoore@rediffmail.com,9986333761
20181096,Dylan Jones,Female,Mechanical,8.06,DylanJones@rediffmail.com,9986200147
20181097,Dorothy Nickisch,Male,CSE,7.46,DorothyNickisch@yahoo.co.in,9986607482
20181098,Thomas Smith,Female,Civil,5.64,ThomasSmith@gmail.com,9986668906
20181099,Melody Turney,Male,EIE,5.28,MelodyTurney@yahoo.co.in,9986699951
20181100,Clara Spence,Female,Mechanical,9.74,ClaraSpence@yahoo.co.in,9986792121
20181101,Vera Lagasca,Male,ECE,5.38,VeraLagasca@yahoo.co.in,9986870767
20181102,David Waggoner,Female,ECE,9.29,DavidWaggoner@rediffmail.com,9986412013
20181103,Kevin Anderson,Male,Civil,9.61,KevinAnderson@gmail.com,9986765841
20181104,Jason Coury,Female,Mechanical,6.16,JasonCoury@rediffmail.com,9986372505
20181105,Gerald Crayton,Male,CSE,7.56,GeraldCrayton@rediffmail.com,9986019389
20181106,Tonya Money,Female,EIE,5.74,TonyaMoney@yahoo.co.in,9986392323
20181107,Rachel Johnson,Male,EIE,8.06,RachelJohnson@gmail.com,9986860960
20181108,Randy Daly,Female,EEE,5.79,RandyDaly@hotmail.com,9986857166
20181109,Renee Nelson,Male,CSE,6.82,ReneeNelson@yahoo.co.in,9986172967
20181110,William Sauls,Male,CSE,5.51,WilliamSauls@rediffmail.com,9986817124
20181111,Ann Rose,Female,ECE,5.62,AnnRose@hotmail.com,9986610911
20181112,Michelle Willis,Female,EEE,7.0,MichelleWillis@rediffmail.com,9986091588
20181113,Oscar Scoggins,Female,CSE,8.69,OscarScoggins@hotmail.com,9986080451
20181114,Ramona Hudnell,Female,ECE,9.43,RamonaHudnell@gmail.com,9986801632
20181115,Geraldine Seiler,Female,EIE,8.87,GeraldineSeiler@hotmail.com,9986363918
20181116,Robert Matthews,Female,CSE,5.83,RobertMatthews@yahoo.co.in,9986037420
20181117,Shannan Atwater,Male,Civil,9.41,ShannanAtwater@rediffmail.com,9986851759
20181118,Mattie Ottis,Female,Mechanical,9.52,MattieOttis@hotmail.com,9986501516
20181119,Judy Linahan,Male,CSE,5.63,JudyLinahan@yahoo.co.in,9986479596
20181120,Diane Barnard,Male,EIE,7.71,DianeBarnard@hotmail.com,9986828532
20181121,Charlene Nevill,Female,Civil,5.49,CharleneNevill@gmail.com,9986104932
20181122,Howard Black,Female,ECE,6.18,HowardBlack@rediffmail.com,9986872445
20181123,Chelsea Allen,Male,CSE,6.2,ChelseaAllen@hotmail.com,9986441640
20181124,Kelly Holland,Female,CSE,6.08,KellyHolland@rediffmail.com,9986290695
20181125,Anna Austin,Female,CSE,9.58,AnnaAustin@gmail.com,9986693546
20181126,Rodrick Bos,Male,Civil,7.86,RodrickBos@yahoo.co.in,9986055255
20181127,Robert Howard,Male,ECE,5.49,RobertHoward@hotmail.com,9986132999
20181128,Tammy Kenney,Female,Civil,7.96,TammyKenney@rediffmail.com,9986297706
20181129,Angela Kmiotek,Male,EEE,7.33,AngelaKmiotek@yahoo.co.in,9986817664
20181130,Mario Salling,Male,Civil,8.01,MarioSalling@yahoo.co.in,9986717040
20181131,Brett Ferguson,Male,ECE,8.39,BrettFerguson@gmail.com,9986299323
20181132,Walter Richburg,Female,Civil,8.26,WalterRichburg@gmail.com,9986512733
20181133,Jack Horton,Female,EIE,5.73,JackHorton@yahoo.co.in,9986439348
20181134,Harold Rainey,Female,ECE,8.93,HaroldRainey@rediffmail.com,9986259284
20181135,Karen Ballard,Male,Mechanical,7.47,KarenBallard@hotmail.com,9986181516
20181136,Lori Cobb,Male,ECE,9.06,LoriCobb@rediffmail.com,9986870640
20181137,Pearl Spencer,Female,EEE,8.34,PearlSpencer@gmail.com,9986512420
20181138,John Hamberg,Male,ECE,7.56,JohnHamberg@gmail.com,9986497863
20181139,Linda Pugliese,Female,EIE,6.62,LindaPugliese@gmail.com,9986263550
20181140,Betty Kelch,Female,ECE,5.52,BettyKelch@hotmail.com,9986358669
20181141,Shirley Barnhart,Male,Mechanical,8.63,ShirleyBarnhart@yahoo.co.in,9986873010
20181142,Tiffany Modi,Male,Civil,9.92,TiffanyModi@gmail.com,9986075956
20181143,Carol Nettles,Male,CSE,7.4,CarolNettles@rediffmail.com,9986399011
20181144,Carlos Adams,Male,ECE,6.33,CarlosAdams@gmail.com,9986088625
20181145,Susan Lee,Male,Mechanical,8.09,SusanLee@rediffmail.com,9986918880
20181146,Sandy Clifford,Male,EEE,8.5,SandyClifford@rediffmail.com,9986009542
20181147,Flossie Flores,Female,Civil,8.71,FlossieFlores@rediffmail.com,9986755127
20181148,Harold Bishop,Male,EIE,8.6,HaroldBishop@hotmail.com,9986201887
20181149,Brandy Payton,Female,EIE,5.51,BrandyPayton@yahoo.co.in,9986198761
20181150,Leroy Butler,Male,EIE,9.34,LeroyButler@gmail.com,9986221119
20181151,Carolyn Hippen,Female,Civil,6.31,CarolynHippen@gmail.com,9986370890
20181152,William Wright,Female,Civil,9.56,WilliamWright@gmail.com,9986064962
20181153,John Ramos,Male,EIE,5.74,JohnRamos@yahoo.co.in,9986618671
20181154,Teresa Enriquez,Male,ECE,8.69,TeresaEnriquez@gmail.com,9986247479
20181155,Alycia Conder,Male,EIE,7.67,AlyciaConder@rediffmail.com,9986863709
20181156,Ruth Pacheco,Female,EEE,8.58,RuthPacheco@yahoo.co.in,9986557613
20181157,Larry Braaten,Female,EEE,8.3,LarryBraaten@rediffmail.com,9986721611
20181158,Suzanne Adams,Female,EEE,8.66,SuzanneAdams@gmail.com,9986144437
20181159,Christopher Smith,Male,ECE,9.39,ChristopherSmith@gmail.com,9986373942
20181160,Ann Allen,Female,EIE,9.27,AnnAllen@hotmail.com,9986061128
20181161,Emmett Nguyen,Female,EEE,5.51,EmmettNguyen@yahoo.co.in,9986808571
20181162,Linda Brown,Male,EIE,8.83,LindaBrown@gmail.com,9986920035
20181163,Diana Martell,Female,EEE,8.18,DianaMartell@hotmail.com,9986591677
20181164,Marianne Blash,Female,EIE,9.54,MarianneBlash@yahoo.co.in,9986553831
20181165,Jeremiah Clark,Male,Civil,5.07,JeremiahClark@hotmail.com,9986072932
20181166,Sylvia Stanley,Female,EIE,7.73,SylviaStanley@hotmail.com,9986506099
20181167,Sharon Parris,Female,EEE,6.66,SharonParris@rediffmail.com,9986593246
20181168,Esther Cantey,Female,ECE,8.04,EstherCantey@gmail.com,9986269869
20181169,Jane Lewis,Male,Mechanical,7.05,JaneLewis@hotmail.com,9986959200
20181170,Kevin Swalley,Male,Mechanical,9.64,KevinSwalley@yahoo.co.in,9986109606
20181171,Paul Whisenhunt,Male,EIE,5.51,PaulWhisenhunt@yahoo.co.in,9986342133
20181172,Mary Handley,Female,ECE,6.9,MaryHandley@yahoo.co.in,9986937585
20181173,Elouise Brown,Female,Civil,5.24,ElouiseBrown@gmail.com,9986690139
20181174,Frances Ketchum,Female,Civil,9.21,FrancesKetchum@hotmail.com,9986924700
20181175,Bobbie Quilliams,Female,EIE,8.09,BobbieQuilliams@yahoo.co.in,9986699723
20181176,Herbert Gardiner,Male,EEE,8.53,HerbertGardiner@gmail.com,9986743669
20181177,Annie Richards,Male,EIE,9.9,AnnieRichards@gmail.com,9986150321
20181178,Dina Sipper,Female,Civil,9.74,DinaSipper@yahoo.co.in,9986188103
20181179,Pedro Eady,Male,ECE,6.35,PedroEady@gmail.com,9986366726
20181180,Craig Cervantes,Male,EEE,8.78,CraigCervantes@yahoo.co.in,9986709274
20181181,Carl Shorb,Female,ECE,9.75,CarlShorb@hotmail.com,9986152046
20181182,James Davis,Female,EEE,6.21,JamesDavis@rediffmail.com,9986853565
20181183,Sondra Granby,Female,EEE,6.45,SondraGranby@rediffmail.com,9986448476
20181184,Kenneth Sapp,Female,EIE,9.07,KennethSapp@gmail.com,9986701532
20181185,Ha Mcgehee,Male,Mechanical,6.36,HaMcgehee@yahoo.co.in,9986183514
20181186,Joe Rabideau,Female,Civil,7.51,JoeRabideau@rediffmail.com,9986823135
20181187,Richard Hanley,Female,Civil,5.12,RichardHanley@rediffmail.com,9986865564
20181188,Matthew Pryor,Female,Civil,6.56,MatthewPryor@hotmail.com,9986658397
20181189,June Mueller,Male,Civil,6.18,JuneMueller@hotmail.com,9986157602
20181190,Heriberto Spear,Male,Mechanical,8.69,HeribertoSpear@gmail.com,9986793511
20181191,Timothy Mcnease,Female,Mechanical,9.44,TimothyMcnease@rediffmail.com,9986729214
20181192,Troy Pinkerton,Female,ECE,9.06,TroyPinkerton@yahoo.co.in,9986477133
20181193,Bruce Corkins,Female,Mechanical,8.19,BruceCorkins@rediffmail.com,9986228184
20181194,Jim Sims,Male,EEE,9.92,JimSims@rediffmail.com,9986814095
20181195,Jesus Pullins,Male,EIE,5.32,JesusPullins@yahoo.co.in,9986677667
20181196,Mary Marchant,Male,EEE,6.96,MaryMarchant@rediffmail.com,9986697997
20181197,Robert Vida,Female,EIE,5.93,RobertVida@yahoo.co.in,9986696456
20181198,Juan Smith,Male,Mechanical,9.09,JuanSmith@yahoo.co.in,9986335731
20181199,Herman Harnois,Male,Mechanical,6.86,HermanHarnois@hotmail.com,9986184196
20181200,Dianne Johannes,Female,EIE,5.99,DianneJohannes@gmail.com,9986230847
20181201,Kathy Crane,Female,EIE,8.04,KathyCrane@rediffmail.com,9986485856
20181202,Daniel Johnson,Female,Civil,8.58,DanielJohnson@rediffmail.com,9986985226
20181203,Colleen Poulsen,Female,EIE,9.53,ColleenPoulsen@hotmail.com,9986083291
20181204,Maria Whitlatch,Female,EIE,7.88,MariaWhitlatch@gmail.com,9986951664
20181205,William Stayton,Female,EEE,8.15,WilliamStayton@gmail.com,9986011163
20181206,Angelina Williams,Male,ECE,7.68,AngelinaWilliams@rediffmail.com,9986119093
20181207,Janice Pomroy,Male,EEE,9.11,JanicePomroy@rediffmail.com,9986839178
20181208,Christen Harvey,Female,EIE,8.91,ChristenHarvey@hotmail.com,9986166922
20181209,Mark West,Male,Civil,7.09,MarkWest@gmail.com,9986705088
20181210,Harold Hyden,Male,ECE,8.14,HaroldHyden@yahoo.co.in,9986517985
20181211,Don Garcia,Female,Mechanical,5.87,DonGarcia@hotmail.com,9986930261
20181212,Georgia Hardy,Male,Civil,5.15,GeorgiaHardy@hotmail.com,9986241119
20181213,Meghan Smith,Female,Civil,7.07,MeghanSmith@yahoo.co.in,9986554208
20181214,Meagan Meeks,Male,ECE,8.09,MeaganMeeks@yahoo.co.in,9986019053
20181215,Crystal Mcdonald,Male,EIE,9.63,CrystalMcdonald@gmail.com,9986002364
20181216,Amanda Hernandez,Female,CSE,9.4,AmandaHernandez@hotmail.com,9986974250
20181217,Lillie Cobb,Male,EEE,6.11,LillieCobb@rediffmail.com,9986685177
20181218,Doris Lujan,Male,ECE,9.42,DorisLujan@hotmail.com,9986138487
20181219,Leo Lanzarin,Male,EEE,6.07,LeoLanzarin@hotmail.com,9986280147
20181220,Jeremy Brown,Male,Civil,7.86,JeremyBrown@gmail.com,9986486422
20181221,Jennifer Cortez,Male,EEE,9.42,JenniferCortez@hotmail.com,9986249844
20181222,Bethany Jorgensen,Female,EIE,6.51,BethanyJorgensen@hotmail.com,9986389533
20181223,Lillie Schilling,Male,Civil,9.05,LillieSchilling@rediffmail.com,9986815059
20181224,Martha Atkins,Female,ECE,6.87,MarthaAtkins@yahoo.co.in,9986082095
20181225,Joshua Rievley,Female,Mechanical,6.01,JoshuaRievley@yahoo.co.in,9986067951
20181226,Derek Keister,Female,CSE,9.76,DerekKeister@yahoo.co.in,9986203512
20181227,Jack Mitchell,Male,EIE,8.2,JackMitchell@gmail.com,9986684794
20181228,Don Poulin,Male,Civil,7.3,DonPoulin@yahoo.co.in,9986438732
20181229,Ralph Robinson,Female,ECE,9.98,RalphRobinson@rediffmail.com,9986861105
20181230,Luke Korczynski,Female,EIE,8.32,LukeKorczynski@hotmail.com,9986283372
20181231,Madaline Bourgeois,Male,ECE,5.35,MadalineBourgeois@gmail.com,9986570767
20181232,Mildred Warren,Female,Mechanical,9.16,MildredWarren@hotmail.com,9986230406
20181233,Donald Griffin,Male,CSE,8.27,DonaldGriffin@yahoo.co.in,9986210748
20181234,Alice Hicks,Female,EEE,8.51,AliceHicks@gmail.com,9986576955
20181235,Aaron Delia,Female,EIE,7.36,AaronDelia@hotmail.com,9986653026
20181236,Rita Timmons,Female,ECE,9.47,RitaTimmons@hotmail.com,9986124464
20181237,Clara Ruggiero,Male,EEE,8.83,ClaraRuggiero@rediffmail.com,9986927735
20181238,Mary Bach,Male,EIE,8.15,MaryBach@gmail.com,9986180880
20181239,Kelly Parker,Male,Mechanical,5.43,KellyParker@yahoo.co.in,9986123586
20181240,Lauren Dear,Male,Mechanical,9.0,LaurenDear@gmail.com,9986528987
20181241,Antonio Zoellner,Female,CSE,5.31,AntonioZoellner@gmail.com,9986878746
20181242,Daniel Dove,Female,EIE,7.81,DanielDove@hotmail.com,9986828675
20181243,Sarah Quan,Male,Civil,9.31,SarahQuan@rediffmail.com,9986846033
20181244,Petra Lira,Male,CSE,7.04,PetraLira@rediffmail.com,9986701862
20181245,Juan Smith,Female,EEE,9.41,JuanSmith@hotmail.com,9986559541
20181246,William Rios,Female,Civil,7.35,WilliamRios@yahoo.co.in,9986670696
20181247,James Carlson,Female,Mechanical,8.79,JamesCarlson@hotmail.com,9986544842
20181248,Harry Schmitz,Female,Mechanical,7.87,HarrySchmitz@yahoo.co.in,9986169971
20181249,April Mcgrath,Female,Civil,9.85,AprilMcgrath@yahoo.co.in,9986971827
20181250,Stacey Schuch,Female,Mechanical,9.51,StaceySchuch@hotmail.com,9986101143
20181251,Timothy Campbell,Male,Civil,5.28,TimothyCampbell@hotmail.com,9986547502
20181252,Luis Tillett,Female,CSE,5.66,LuisTillett@rediffmail.com,9986320250
20181253,Anthony Harper,Female,Civil,7.9,AnthonyHarper@hotmail.com,9986533437
20181254,Teri Ramsey,Female,Civil,5.88,TeriRamsey@hotmail.com,9986030022
20181255,Michael Jones,Female,Civil,6.42,MichaelJones@gmail.com,9986957512
20181256,Jessica Jacobs,Male,Civil,6.29,JessicaJacobs@yahoo.co.in,9986749299
20181257,Matthew Thompson,Male,EIE,5.12,MatthewThompson@rediffmail.com,9986514002
20181258,Alma Myers,Male,EEE,8.46,AlmaMyers@rediffmail.com,9986450585
20181259,William Dubose,Female,CSE,8.85,WilliamDubose@yahoo.co.in,9986987378
20181260,Madeleine Cameron,Male,EIE,9.57,MadeleineCameron@yahoo.co.in,9986184579
20181261,Santiago Martin,Female,Civil,6.43,SantiagoMartin@gmail.com,9986136258
20181262,Clayton Maobi,Male,CSE,9.12,ClaytonMaobi@yahoo.co.in,9986440303
20181263,Lynnette Wehrenberg,Male,Civil,6.97,LynnetteWehrenberg@rediffmail.com,9986215598
20181264,Gary Adams,Male,CSE,7.78,GaryAdams@rediffmail.com,9986148921
20181265,Diane Hansbrough,Male,EIE,9.87,DianeHansbrough@yahoo.co.in,9986352902
20181266,Kenneth Poole,Female,EEE,9.18,KennethPoole@hotmail.com,9986171041
20181267,Andrew Choi,Male,EIE,7.55,AndrewChoi@rediffmail.com,9986730392
20181268,Betty Warren,Male,ECE,5.37,BettyWarren@yahoo.co.in,9986910756
20181269,Julie Domhoff,Male,EIE,6.73,JulieDomhoff@hotmail.com,9986814084
20181270,Selma Mente,Male,EEE,6.44,SelmaMente@yahoo.co.in,9986997850
20181271,Sophie Torres,Male,ECE,6.3,SophieTorres@gmail.com,9986558400
20181272,Chuck Bird,Male,CSE,5.7,ChuckBird@hotmail.com,9986993359
20181273,Raymond Modica,Female,Civil,8.64,RaymondModica@yahoo.co.in,9986815687
20181274,Clinton Larsen,Female,ECE,5.23,ClintonLarsen@hotmail.com,9986237371
20181275,Harry Myers,Male,EEE,8.48,HarryMyers@yahoo.co.in,9986255223
20181276,Tracey Fanning,Female,EEE,6.46,TraceyFanning@yahoo.co.in,9986045622
20181277,Daniel Smith,Male,Mechanical,5.98,DanielSmith@hotmail.com,9986910747
20181278,Patrick Reynolds,Male,EEE,5.62,PatrickReynolds@yahoo.co.in,9986045334
20181279,Nathan Bille,Male,Civil,8.16,NathanBille@rediffmail.com,9986005287
20181280,Annie Block,Male,CSE,8.52,AnnieBlock@yahoo.co.in,9986876049
20181281,Richard Barlow,Male,EEE,5.47,RichardBarlow@hotmail.com,9986890112
20181282,William Campos,Male,EIE,8.53,WilliamCampos@rediffmail.com,9986410113
20181283,Chandra Anderson,Female,EIE,9.78,ChandraAnderson@gmail.com,9986419759
20181284,Jean Spasiano,Male,EIE,9.56,JeanSpasiano@rediffmail.com,9986063233
20181285,Rodney Rich,Male,Civil,8.68,RodneyRich@gmail.com,9986031356
20181286,Dustin Adler,Male,EEE,5.71,DustinAdler@gmail.com,9986403107
20181287,Dorothy Perez,Male,EIE,6.42,DorothyPerez@rediffmail.com,9986177084
20181288,Virginia Stephens,Female,Mechanical,7.92,VirginiaStephens@yahoo.co.in,9986496628
20181289,Jeffery Gonzales,Male,EIE,8.82,JefferyGonzales@gmail.com,9986348444
20181290,Wendell Sierra,Male,CSE,8.36,WendellSierra@gmail.com,9986968725
20181291,Lisa Kingsley,Male,Civil,6.2,LisaKingsley@rediffmail.com,9986604862
20181292,Elaine Woodruff,Female,Mechanical,8.84,ElaineWoodruff@rediffmail.com,9986436151
20181293,Savannah Nash,Male,ECE,9.59,SavannahNash@rediffmail.com,9986441235
20181294,Kirsten Steele,Male,ECE,8.22,KirstenSteele@hotmail.com,9986185017
20181295,George Johnson,Male,ECE,7.36,GeorgeJohnson@rediffmail.com,9986595977
20181296,Dwayne Sibley,Male,EIE,5.9,DwayneSibley@rediffmail.com,9986622422
20181297,Michael Finley,Male,EIE,5.64,MichaelFinley@yahoo.co.in,9986996871
20181298,Amy Young,Female,Civil,8.55,AmyYoung@hotmail.com,9986703385
20181299,Kaitlin Benton,Female,CSE,6.58,KaitlinBenton@hotmail.com,9986198229
20181300,Robert Griffin,Female,Civil,9.27,RobertGriffin@rediffmail.com,9986997913
20181301,Charles Palermo,Female,Mechanical,8.54,CharlesPalermo@gmail.com,9986551781
20181302,Ann Carnes,Female,Mechanical,8.11,AnnCarnes@gmail.com,9986580194
20181303,Carol Deal,Female,Civil,7.62,CarolDeal@yahoo.co.in,9986868957
20181304,Daniel Warren,Female,ECE,7.69,DanielWarren@gmail.com,9986266617
20181305,Thomas Rodriguez,Female,EEE,8.45,ThomasRodriguez@gmail.com,9986884342
20181306,Jose Wheatley,Male,ECE,9.39,JoseWheatley@hotmail.com,9986552889
20181307,Mario Carr,Female,Civil,9.11,MarioCarr@rediffmail.com,9986919189
20181308,Jose Minton,Male,Mechanical,9.86,JoseMinton@hotmail.com,9986048415
20181309,Louise Goff,Male,Civil,5.44,LouiseGoff@hotmail.com,9986739057
20181310,Robert Sutton,Female,Mechanical,9.65,RobertSutton@rediffmail.com,9986322327
20181311,Audrey Brasure,Female,ECE,9.44,AudreyBrasure@rediffmail.com,9986938927
20181312,Andrew Richburg,Female,Mechanical,9.87,AndrewRichburg@hotmail.com,9986292201
20181313,Todd Livingston,Male,CSE,8.62,ToddLivingston@rediffmail.com,9986952431
20181314,Robert Robbins,Male,ECE,9.41,RobertRobbins@gmail.com,9986131748
20181315,Dannie Taylor,Female,Civil,9.31,DannieTaylor@hotmail.com,9986100601
