REGISTRATION_NUMBER,STUDENT_NAME,STUDENT_GENDER,STUDENT_DEPARTMENT,STUDENT_CGPA,STUDENT_EMAILID,STUDENT_CONTACT_NUMBER
61,Brian Dellano,Female,ECE,5.61,BrianDellano@gmail.com,9986789158
62,Calvin Formica,Male,EEE,6.69,CalvinFormica@hotmail.com,9986482384
63,Linda Ferree,Male,CSE,6.81,LindaFerree@hotmail.com,9986024807
64,Andrew Landingham,Male,EIE,8.59,AndrewLandingham@hotmail.com,9986830825
65,Jeremy Allen,Male,EEE,5.41,JeremyAllen@yahoo.co.in,9986176126
66,Grace Walter,Female,ECE,8.72,GraceWalter@hotmail.com,9986809655
67,Brandon Morris,Male,ECE,5.6,BrandonMorris@yahoo.co.in,9986447753
68,Joe Fredrickson,Female,ECE,7.43,JoeFredrickson@hotmail.com,9986788275
69,Claud Brasure,Male,CSE,7.33,ClaudBrasure@rediffmail.com,9986707672
70,Jean Gibson,Female,Civil,6.44,JeanGibson@gmail.com,9986248148
71,Joshua Malkin,Female,CSE,5.41,JoshuaMalkin@yahoo.co.in,9986323885
72,Stephen Williams,Male,Civil,5.18,StephenWilliams@rediffmail.com,9986463994
73,Rita Mcdowell,Male,EEE,5.66,RitaMcdowell@rediffmail.com,9986429478
74,Glenda Hartzler,Male,EIE,8.54,GlendaHartzler@rediffmail.com,9986407259
75,Lillian Harrison,Female,EIE,8.31,LillianHarrison@hotmail.com,9986193549
76,Claude Mifflin,Male,ECE,9.35,ClaudeMifflin@gmail.com,9986762825
77,Michael Jones,Male,Civil,7.27,MichaelJones@gmail.com,9986983813
78,Alicia Simpson,Female,Mechanical,5.47,AliciaSimpson@yahoo.co.in,9986809113
79,John Giunta,Male,Mechanical,5.62,JohnGiunta@gmail.com,9986446425
80,Ying Mitchell,Male,EEE,5.36,YingMitchell@rediffmail.com,9986608727
81,Michael Jones,Male,EIE,8.36,MichaelJones@hotmail.com,9986022830
82,Luke Smith,Male,Mechanical,6.34,LukeSmith@yahoo.co.in,9986882762
83,Dianne Metzler,Male,CSE,5.64,DianneMetzler@rediffmail.com,9986939053
84,Stephen Levy,Male,ECE,9.75,StephenLevy@hotmail.com,9986916794
85,Anita Torres,Male,ECE,5.1,AnitaTorres@rediffmail.com,9986314516
86,Bennie Johnson,Male,CSE,6.23,BennieJohnson@gmail.com,9986631734
87,Andrew Thornton,Female,Civil,7.63,AndrewThornton@yahoo.co.in,9986370868
88,Helen Hernandez,Male,EEE,5.59,HelenHernandez@gmail.com,9986120003
89,Brenda Simmer,Female,EEE,8.65,BrendaSimmer@rediffmail.com,9986097758
90,David Escobar,Male,EEE,7.99,DavidEscobar@hotmail.com,9986907751
91,Kenneth Pardini,Male,CSE,7.56,KennethPardini@rediffmail.com,9986658268
92,Stephen Sanders,Female,Civil,7.67,StephenSanders@rediffmail.com,9986250419
93,Ricardo Tiley,Male,Mechanical,7.8,RicardoTiley@hotmail.com,9986099608
94,Regina Partain,Female,ECE,9.11,ReginaPartain@gmail.com,9986556064
95,Robin Soler,Female,EEE,5.46,RobinSoler@yahoo.co.in,9986470203
96,Raleigh Burns,Female,CSE,9.32,RaleighBurns@yahoo.co.in,9986812561
97,Angelica Neeley,Male,Mechanical,8.28,AngelicaNeeley@gmail.com,9986041335
98,Stacy Balch,Male,Mechanical,6.16,StacyBalch@yahoo.co.in,9986645412
99,Andrew Bash,Male,EIE,6.5,AndrewBash@rediffmail.com,9986394913
100,Brooke Ford,Male,Civil,7.89,BrookeFord@yahoo.co.in,9986907871
101,Alphonse Dill,Female,ECE,5.79,AlphonseDill@hotmail.com,9986999214
102,Michelle Rosenberg,Male,EIE,7.41,MichelleRosenberg@yahoo.co.in,9986896336
103,Irma Johnson,Male,EIE,6.88,IrmaJohnson@gmail.com,9986070971
104,Stacey Gearhart,Male,EEE,7.32,StaceyGearhart@yahoo.co.in,9986774633
105,Kathy Cornelius,Female,CSE,9.52,KathyCornelius@yahoo.co.in,9986614404
106,Rita Ferreira,Male,Mechanical,5.03,RitaFerreira@yahoo.co.in,9986912518
107,Octavio Bigelow,Female,Civil,6.48,OctavioBigelow@rediffmail.com,9986196361
108,Maggie Burk,Female,CSE,5.92,MaggieBurk@yahoo.co.in,9986119737
109,Donna Geraldo,Male,EEE,6.04,DonnaGeraldo@yahoo.co.in,9986654867
110,Thomas Reynolds,Male,CSE,6.91,ThomasReynolds@yahoo.co.in,9986991755
111,Deborah Thompson,Male,EIE,9.88,DeborahThompson@gmail.com,9986549480
112,Richard Williams,Male,EIE,5.57,RichardWilliams@yahoo.co.in,9986609912
113,Jane Blair,Male,EEE,7.07,JaneBlair@hotmail.com,9986378923
114,Tanna Mays,Male,EEE,9.28,TannaMays@gmail.com,9986376213
115,Jose Morton,Female,CSE,8.43,JoseMorton@rediffmail.com,9986936288
116,Courtney White,Female,Mechanical,8.48,CourtneyWhite@gmail.com,9986218957
117,Roberta Horner,Male,Mechanical,8.68,RobertaHorner@yahoo.co.in,9986981784
118,Tina Dejesus,Male,ECE,9.23,TinaDejesus@hotmail.com,9986974566
119,Lanie Howard,Female,ECE,8.09,LanieHoward@hotmail.com,9986345962
120,Mary Bracken,Female,Mechanical,7.51,MaryBracken@yahoo.co.in,9986865556
121,Roberta Carrell,Female,EIE,5.12,RobertaCarrell@gmail.com,9986242685
122,Steven Murphy,Female,EEE,7.03,StevenMurphy@gmail.com,9986154455
123,Elizabeth Scott,Male,Civil,6.07,ElizabethScott@gmail.com,9986559428
124,Tammy Matthews,Male,Civil,7.05,TammyMatthews@gmail.com,9986277797
125,Mathew Anderson,Male,EEE,5.96,MathewAnderson@gmail.com,9986970223
126,Patrick Lilly,Female,CSE,6.69,PatrickLilly@rediffmail.com,9986726737
127,Pedro Scott,Female,ECE,9.28,PedroScott@gmail.com,9986471528
128,Suzanne Lawrence,Male,Mechanical,6.74,SuzanneLawrence@hotmail.com,9986133595
129,Michael Campos,Female,EEE,6.52,MichaelCampos@yahoo.co.in,9986021114
130,Deanna Laud,Male,Civil,7.2,DeannaLaud@gmail.com,9986189017
131,Paula Holt,Female,EIE,5.22,PaulaHolt@rediffmail.com,9986572875
132,Raymond Pierre,Female,CSE,5.28,RaymondPierre@rediffmail.com,9986353606
133,John Holcomb,Female,Civil,5.33,JohnHolcomb@hotmail.com,9986821569
134,Joseph Rivera,Male,ECE,8.48,JosephRivera@rediffmail.com,9986855407
135,David Woods,Female,EEE,8.08,DavidWoods@gmail.com,9986800455
136,Richard Lau,Female,Civil,6.32,RichardLau@rediffmail.com,9986655538
137,Eric Riggings,Male,ECE,7.23,EricRiggings@hotmail.com,9986476666
138,Nathan Odonnell,Male,EIE,9.66,NathanOdonnell@rediffmail.com,9986944061
139,Angela Herring,Female,ECE,8.71,AngelaHerring@rediffmail.com,9986559857
140,Marvin Nozum,Female,ECE,6.08,MarvinNozum@rediffmail.com,9986872585
141,Gerald Oberle,Male,EIE,8.54,GeraldOberle@rediffmail.com,9986180773
142,Toni King,Female,EIE,8.79,ToniKing@gmail.com,9986356232
143,Billy Hardin,Male,Civil,8.62,BillyHardin@rediffmail.com,9986940998
144,Francine Kitchin,Male,Civil,9.79,FrancineKitchin@yahoo.co.in,9986557424
145,Paul Messenger,Female,ECE,9.44,PaulMessenger@rediffmail.com,9986676680
146,Layne Gebhard,Male,ECE,6.41,LayneGebhard@hotmail.com,9986340634
147,Ella Wilson,Male,EEE,7.54,EllaWilson@gmail.com,9986739823
148,Frank Reed,Female,ECE,6.22,FrankReed@hotmail.com,9986276462
149,Virgina Wallace,Male,CSE,7.5,VirginaWallace@gmail.com,9986349369
150,Jerry Tucker,Female,EEE,8.28,JerryTucker@yahoo.co.in,9986740014
151,Virginia Harper,Male,Civil,6.9,VirginiaHarper@rediffmail.com,9986945378
152,Samuel Baker,Female,EIE,5.97,SamuelBaker@gmail.com,9986905653
153,Kimberly Vanalst,Male,EEE,8.27,KimberlyVanalst@rediffmail.com,9986459146
154,Brynn Watson,Male,EIE,5.97,BrynnWatson@yahoo.co.in,9986162536
155,Deanna Karpinski,Male,Civil,5.95,DeannaKarpinski@gmail.com,9986395601
156,Aaron Heard,Male,EEE,5.58,AaronHeard@yahoo.co.in,9986594092
157,Dorothy Carruthers,Female,Mechanical,9.87,DorothyCarruthers@rediffmail.com,9986732189
158,Carl Landrum,Male,EIE,6.21,CarlLandrum@gmail.com,9986844638
159,Jo Hewson,Female,EEE,8.44,JoHewson@gmail.com,9986062718
160,Gordon Day,Male,CSE,5.59,GordonDay@hotmail.com,9986600418
161,Anissa Brown,Male,ECE,5.43,AnissaBrown@yahoo.co.in,9986742806
162,Angela Thompson,Female,Mechanical,9.9,AngelaThompson@hotmail.com,9986478723
163,Kenneth Nettles,Female,ECE,7.25,KennethNettles@gmail.com,9986665919
164,Emily Robinson,Male,ECE,6.01,EmilyRobinson@rediffmail.com,9986061787
165,Deborah Lattus,Female,ECE,5.0,DeborahLattus@yahoo.co.in,9986527038
166,Danny Addesso,Male,ECE,9.85,DannyAddesso@rediffmail.com,9986064328
167,Judith Munson,Male,ECE,5.19,JudithMunson@hotmail.com,9986313890
168,Madelyn Ing,Female,EEE,8.19,MadelynIng@hotmail.com,9986104287
169,Shirley Montez,Male,Civil,5.53,ShirleyMontez@hotmail.com,9986436294
170,David Delarosa,Male,Civil,5.5,DavidDelarosa@hotmail.com,9986491280
171,Ricardo Venecia,Female,Mechanical,5.23,RicardoVenecia@yahoo.co.in,9986235943
172,Kurt Chavira,Female,ECE,5.13,KurtChavira@hotmail.com,9986095793
173,John Bender,Male,Mechanical,6.43,JohnBender@gmail.com,9986303554
174,Rebecca Corradino,Male,EEE,5.38,RebeccaCorradino@rediffmail.com,9986221208
175,Marcy Gallagher,Male,CSE,6.76,MarcyGallagher@yahoo.co.in,9986405159
176,Mary Betancourt,Male,CSE,7.44,MaryBetancourt@rediffmail.com,9986612909
177,Carol Watterson,Male,EIE,9.46,CarolWatterson@rediffmail.com,9986902759
178,Mary Hulse,Female,ECE,7.47,MaryHulse@hotmail.com,9986992006
179,Taylor Martin,Female,EEE,9.97,TaylorMartin@hotmail.com,9986173646
180,Raymon Willis,Male,EIE,6.42,RaymonWillis@gmail.com,9986181247
181,Jimmy Allen,Male,ECE,6.07,JimmyAllen@hotmail.com,9986501853
182,Mary Robertson,Female,Mechanical,8.36,MaryRobertson@hotmail.com,9986429159
183,Pat Langdon,Female,EIE,9.44,PatLangdon@rediffmail.com,9986603369
184,Ismael Larios,Female,EEE,9.78,IsmaelLarios@yahoo.co.in,9986629813
185,William Dake,Male,Mechanical,6.69,WilliamDake@rediffmail.com,9986194061
186,James Rowland,Female,Mechanical,7.43,JamesRowland@yahoo.co.in,9986006104
187,Melinda Boissonneault,Female,ECE,7.37,MelindaBoissonneault@rediffmail.com,9986176925
188,Carla Ellis,Male,Civil,6.88,CarlaEllis@hotmail.com,9986891906
189,Michael Hodges,Male,Civil,8.5,MichaelHodges@yahoo.co.in,9986153246
190,Irene Palma,Female,CSE,6.6,IrenePalma@rediffmail.com,9986390032
191,Candace Roundtree,Female,EIE,8.17,CandaceRoundtree@gmail.com,9986459705
192,Denise Mclead,Female,ECE,8.22,DeniseMclead@hotmail.com,9986441425
193,Roger Ott,Female,Mechanical,7.96,RogerOtt@gmail.com,9986005978
194,Keith Sullivan,Female,EEE,9.15,KeithSullivan@rediffmail.com,9986545126
195,Amber Amato,Female,ECE,8.45,AmberAmato@gmail.com,9986072914
196,Manuel Sampson,Male,ECE,8.04,ManuelSampson@yahoo.co.in,9986218302
197,Tina Deyoe,Male,Civil,5.96,TinaDeyoe@hotmail.com,9986573274
198,Jeffrey Pantoni,Female,EEE,8.32,JeffreyPantoni@gmail.com,9986428997
199,Carmen Tyler,Male,EIE,9.96,CarmenTyler@rediffmail.com,9986037748
200,Preston Farnsworth,Male,ECE,5.29,PrestonFarnsworth@yahoo.co.in,9986427421
201,Cindy Campbell,Female,Civil,9.9,CindyCampbell@rediffmail.com,9986501170
202,Diane Smith,Female,Mechanical,5.18,DianeSmith@hotmail.com,9986111799
203,Wendy Bria,Male,CSE,7.31,WendyBria@yahoo.co.in,9986332827
204,Laura Caggiano,Male,Mechanical,9.05,LauraCaggiano@hotmail.com,9986227498
205,Florence Hooker,Female,Mechanical,8.54,FlorenceHooker@yahoo.co.in,9986040124
206,Elaine Bell,Female,ECE,8.79,ElaineBell@rediffmail.com,9986437055
207,Percy Darnstaedt,Female,EEE,7.14,PercyDarnstaedt@hotmail.com,9986362257
208,Lisa Carey,Male,EIE,9.01,LisaCarey@rediffmail.com,9986627881
209,Anna Jacobs,Female,EIE,5.16,AnnaJacobs@hotmail.com,9986637116
210,James Gonzalez,Male,EIE,7.56,JamesGonzalez@hotmail.com,9986079720
211,Marlon Armour,Female,EIE,5.23,MarlonArmour@hotmail.com,9986813522
212,Dora Mitchell,Male,EEE,7.78,DoraMitchell@yahoo.co.in,9986381096
213,John Wheeler,Male,Mechanical,7.62,JohnWheeler@gmail.com,9986919536
214,Brent Waldon,Female,Mechanical,9.51,BrentWaldon@gmail.com,9986315768
215,Willie Ollie,Male,Mechanical,9.56,WillieOllie@yahoo.co.in,9986359345
216,Craig Mckenney,Female,EEE,7.25,CraigMckenney@rediffmail.com,9986047647
217,Ryan Greenhouse,Male,CSE,7.53,RyanGreenhouse@hotmail.com,9986145934
218,Maximo Nash,Female,Mechanical,9.82,MaximoNash@hotmail.com,9986123130
219,Gladys Mazur,Female,ECE,8.14,GladysMazur@gmail.com,9986824806
220,Janis Moore,Male,EEE,6.92,JanisMoore@rediffmail.com,9986151193
221,Francesca Miller,Male,CSE,8.23,FrancescaMiller@yahoo.co.in,9986124344
222,Michael Huntley,Female,Civil,7.16,MichaelHuntley@rediffmail.com,9986085248
223,Edward Saunders,Female,Civil,5.87,EdwardSaunders@gmail.com,9986537340
224,Mark Watson,Female,EIE,5.72,MarkWatson@hotmail.com,9986251593
225,Lois Vest,Female,CSE,7.17,LoisVest@hotmail.com,9986048345
226,Kenneth Cotton,Female,Civil,6.39,KennethCotton@yahoo.co.in,9986275384
227,Charles Murphy,Female,Mechanical,8.22,CharlesMurphy@yahoo.co.in,9986118060
228,Elizabeth Fryar,Male,CSE,5.04,ElizabethFryar@yahoo.co.in,9986480492
229,Simone Smith,Male,Mechanical,7.99,SimoneSmith@hotmail.com,9986973599
230,Carolyn Flores,Female,Mechanical,6.43,CarolynFlores@rediffmail.com,9986937659
231,Carol Burgess,Male,Civil,5.93,CarolBurgess@rediffmail.com,9986221126
232,Noel Oppegard,Female,EEE,6.44,NoelOppegard@yahoo.co.in,9986012249
233,William Goode,Male,Civil,5.18,WilliamGoode@hotmail.com,9986797506
234,Ryan Whitling,Male,EEE,7.61,RyanWhitling@rediffmail.com,9986328103
235,Courtney Klotz,Female,EEE,6.9,CourtneyKlotz@rediffmail.com,9986204947
236,Karen Miller,Female,EEE,9.0,KarenMiller@yahoo.co.in,9986974105
237,Darlene Waller,Female,CSE,9.56,DarleneWaller@rediffmail.com,9986189439
238,Thelma Griffin,Female,EEE,5.86,ThelmaGriffin@hotmail.com,9986230585
239,Eleanor Mcintosh,Female,EIE,5.02,EleanorMcintosh@rediffmail.com,9986565354
240,Matthew Miller,Female,Civil,6.01,MatthewMiller@gmail.com,9986875302
241,Eric Eurich,Male,ECE,8.18,EricEurich@gmail.com,9986063574
242,Joshua Beck,Female,EEE,9.25,JoshuaBeck@gmail.com,9986315386
243,Rebecca Buck,Male,Civil,6.12,RebeccaBuck@yahoo.co.in,9986596813
244,Daniel Robinson,Female,EIE,5.53,DanielRobinson@rediffmail.com,9986135807
245,Carrie Delong,Female,Civil,7.88,CarrieDelong@hotmail.com,9986993256
246,Lois Davis,Male,EIE,9.1,LoisDavis@hotmail.com,9986204308
247,Christina Woodward,Female,Mechanical,6.31,ChristinaWoodward@rediffmail.com,9986608908
248,Andrew Hoffman,Female,EEE,9.31,AndrewHoffman@rediffmail.com,9986915203
249,Becky Daily,Female,Mechanical,7.64,BeckyDaily@rediffmail.com,9986905918
250,George Chandler,Male,CSE,8.77,GeorgeChandler@yahoo.co.in,9986573798
251,Marilyn Thompson,Male,Mechanical,6.95,MarilynThompson@hotmail.com,9986068653
252,William Oneal,Male,ECE,8.0,WilliamOneal@hotmail.com,9986880698
253,Pamela Lacy,Female,Mechanical,8.54,PamelaLacy@rediffmail.com,9986256118
254,Anthony Miranda,Male,EIE,5.61,AnthonyMiranda@yahoo.co.in,9986142396
255,Ann Guinane,Female,ECE,5.11,AnnGuinane@rediffmail.com,9986841894
256,Isaiah Chan,Male,EEE,8.63,IsaiahChan@gmail.com,9986596934
257,Ruby Fisk,Female,Civil,7.67,RubyFisk@rediffmail.com,9986910396
258,Della Windmeyer,Male,EIE,7.09,DellaWindmeyer@gmail.com,9986586589
259,Nancy Evans,Female,ECE,9.97,NancyEvans@rediffmail.com,9986235963
260,Elizabeth Harper,Female,CSE,7.87,ElizabethHarper@rediffmail.com,9986024668
261,Jack Bradley,Female,Mechanical,6.68,JackBradley@rediffmail.com,9986884046
262,Mary Williams,Female,EEE,7.1,MaryWilliams@rediffmail.com,9986890789
263,Christopher Szerszen,Female,Mechanical,8.07,ChristopherSzerszen@hotmail.com,9986492270
264,William Botelho,Male,EEE,9.9,WilliamBotelho@gmail.com,9986215627
265,Gary Skelton,Male,EIE,9.06,GarySkelton@yahoo.co.in,9986458636
266,Paul Lewis,Female,ECE,7.04,PaulLewis@yahoo.co.in,9986135279
267,Debra Williams,Male,Civil,6.37,DebraWilliams@gmail.com,9986084781
268,Eartha Collister,Male,ECE,9.09,EarthaCollister@hotmail.com,9986615021
269,Jeremy Jensen,Female,EIE,7.87,JeremyJensen@gmail.com,9986384543
270,Stacy Eiben,Female,EEE,8.22,StacyEiben@hotmail.com,9986137804
271,Irene Cushenberry,Female,CSE,7.37,IreneCushenberry@gmail.com,9986202414
272,Buddy Vives,Male,Mechanical,6.93,BuddyVives@yahoo.co.in,9986050244
273,Roger Harrison,Male,Civil,5.9,RogerHarrison@gmail.com,9986403968
274,Sam Higgins,Male,Civil,6.12,SamHiggins@hotmail.com,9986376622
275,Annie Romo,Female,ECE,8.67,AnnieRomo@yahoo.co.in,9986093282
276,Ruth Turner,Female,EIE,6.81,RuthTurner@rediffmail.com,9986455682
277,Julie Davis,Female,ECE,5.02,JulieDavis@rediffmail.com,9986459039
278,Mitzi Thompkins,Female,Civil,8.49,MitziThompkins@rediffmail.com,9986250195
279,Alison Mclanahan,Female,ECE,6.54,AlisonMclanahan@yahoo.co.in,9986736732
280,Curt Triplett,Female,ECE,9.03,CurtTriplett@gmail.com,9986155550
281,Josefina Coward,Female,ECE,7.49,JosefinaCoward@gmail.com,9986692310
282,Debbi Ortz,Female,EIE,5.55,DebbiOrtz@gmail.com,9986407835
283,Donald Debusk,Male,ECE,9.81,DonaldDebusk@gmail.com,9986902723
284,Hector Freeman,Male,EEE,5.4,HectorFreeman@gmail.com,9986045904
285,Craig Blum,Male,CSE,5.33,CraigBlum@rediffmail.com,9986650178
286,Dave Wysocki,Male,Civil,8.21,DaveWysocki@rediffmail.com,9986663061
287,Ann Ferrier,Male,Civil,7.54,AnnFerrier@gmail.com,9986756857
288,Kimberly Sanderson,Male,Civil,6.27,KimberlySanderson@rediffmail.com,9986535694
289,Donald Jones,Male,Mechanical,6.26,DonaldJones@gmail.com,9986821446
290,Steven Luna,Male,CSE,6.77,StevenLuna@rediffmail.com,9986611615
291,Jaime Devilbiss,Male,EIE,7.2,JaimeDevilbiss@rediffmail.com,9986896684
292,Rick Higdon,Female,EEE,5.74,RickHigdon@yahoo.co.in,9986111891
293,Carl Luna,Male,EEE,5.64,CarlLuna@rediffmail.com,9986256104
294,Anthony Shannon,Male,Mechanical,8.74,AnthonyShannon@gmail.com,9986358389
295,Sarah Adams,Male,EEE,7.23,SarahAdams@gmail.com,9986949627
296,Erin Barks,Female,Civil,9.01,ErinBarks@yahoo.co.in,9986458085
297,John Leech,Male,ECE,7.03,JohnLeech@yahoo.co.in,9986103717
298,Wilfred Lee,Male,Civil,7.46,WilfredLee@rediffmail.com,9986420553
299,Keith Thompson,Female,Civil,8.19,KeithThompson@rediffmail.com,9986728306
300,Donna Hey,Female,CSE,8.62,DonnaHey@yahoo.co.in,9986870783
301,Michael Solis,Female,CSE,6.9,MichaelSolis@hotmail.com,9986389659
302,Catherine Messner,Male,CSE,7.67,CatherineMessner@rediffmail.com,9986882523
303,Bonnie Harkrader,Male,EIE,8.63,BonnieHarkrader@hotmail.com,9986714323
304,Nicholas Leffert,Female,EEE,9.71,NicholasLeffert@hotmail.com,9986684221
305,George Jacob,Male,ECE,6.42,GeorgeJacob@gmail.com,9986247023
306,Robert Embry,Female,Civil,5.99,RobertEmbry@gmail.com,9986652877
307,Christopher Wilson,Male,Mechanical,7.13,ChristopherWilson@yahoo.co.in,9986505427
308,Bernita Vetter,Male,Mechanical,7.98,BernitaVetter@gmail.com,9986965669
309,Carmen Wiener,Male,EIE,8.05,CarmenWiener@yahoo.co.in,9986685110
310,Ana Honeycutt,Female,CSE,7.01,AnaHoneycutt@yahoo.co.in,9986040261
311,Robert Spicer,Female,Civil,6.13,RobertSpicer@yahoo.co.in,9986626369
312,Lewis Wigfall,Female,ECE,6.92,LewisWigfall@rediffmail.com,9986619824
313,Joey Leitner,Female,Civil,5.54,JoeyLeitner@gmail.com,9986739093
314,Lois Trombley,Male,Civil,8.21,LoisTrombley@yahoo.co.in,9986546928
315,John Crawford,Female,CSE,9.57,JohnCrawford@gmail.com,9986665997
316,Ann Miller,Male,CSE,6.47,AnnMiller@hotmail.com,9986836793
317,Joyce Summers,Male,Civil,7.91,JoyceSummers@hotmail.com,9986533068
318,Ian Carey,Female,Mechanical,8.6,IanCarey@hotmail.com,9986468929
319,Sylvia Manning,Female,EEE,7.92,SylviaManning@rediffmail.com,9986527963
320,James Lyday,Female,EEE,5.59,JamesLyday@rediffmail.com,9986639984
321,Don Thai,Male,Mechanical,6.51,DonThai@gmail.com,9986110780
322,Florence Burton,Male,EEE,7.16,FlorenceBurton@hotmail.com,9986359434
323,Jesus Madden,Female,Mechanical,5.34,JesusMadden@rediffmail.com,9986655639
324,Robert Price,Male,Civil,5.4,RobertPrice@gmail.com,9986130500
325,Grace Huynh,Male,EEE,7.42,GraceHuynh@rediffmail.com,9986087321
326,William Luer,Female,Mechanical,7.48,WilliamLuer@gmail.com,9986076376
327,George Demarais,Female,CSE,8.68,GeorgeDemarais@rediffmail.com,9986427447
